Subject Number: ddd
Generate time: 2019/12/19 12:15:24
word	speed	sequence	token
11	2	1	1
7	2	1	1
3	2	1	2
6	2	1	1
8	2	1	1
4	2	1	1
3	2	1	1
9	2	1	2
5	2	1	2
2	2	1	2
5	2	1	1
2	2	1	1
5	2	1	2
1	2	1	1
8	2	1	2
2	2	1	1
3	2	1	2
9	2	1	2
1	2	1	2
6	2	1	1
4	2	1	2
7	2	1	1
1	2	1	2
3	2	1	1
11	2	1	2
6	2	1	2
7	2	1	2
6	2	1	2
9	2	1	1
11	2	1	2
4	2	1	1
7	2	1	2
8	2	1	2
2	2	1	2
1	2	1	1
11	2	1	1
5	2	1	1
8	2	1	1
4	2	1	2
9	2	1	1
10	2	1	1
10	2	1	1
10	2	1	2
10	2	1	2
10	2	3	1
11	2	3	1
5	2	3	2
8	2	3	2
2	2	3	2
1	2	3	1
1	2	3	2
4	2	3	2
8	2	3	1
10	2	3	2
9	2	3	2
2	2	3	1
4	2	3	1
6	2	3	1
9	2	3	1
6	2	3	2
7	2	3	2
11	2	3	2
3	2	3	2
7	2	3	1
3	2	3	1
5	2	3	1
