Subject Number: xxxx
Generate time: 2019/12/02 20:15:40
word	speed	sequence	token
2	1	1	1
7	1	1	1
11	1	1	1
1	1	1	1
10	1	1	2
10	1	1	2
6	1	1	1
5	1	1	2
1	1	1	1
6	1	1	1
7	1	1	2
7	1	1	2
9	1	1	1
3	1	1	2
3	1	1	1
3	1	1	1
2	1	1	1
8	1	1	2
3	1	1	2
9	1	1	1
8	1	1	1
6	1	1	2
6	1	1	2
9	1	1	2
8	1	1	1
5	1	1	2
7	1	1	1
8	1	1	2
11	1	1	1
11	1	1	2
1	1	1	2
9	1	1	2
1	1	1	2
10	1	1	1
10	1	1	1
4	1	1	2
4	1	1	1
2	1	1	2
2	1	1	2
5	1	1	1
4	1	1	1
5	1	1	1
4	1	1	2
11	1	1	2
1	2	1	2
6	2	1	2
7	2	1	2
5	2	1	2
8	2	1	2
11	2	1	1
9	2	1	1
5	2	1	2
3	2	1	2
2	2	1	2
2	2	1	1
3	2	1	2
2	2	1	1
8	2	1	2
3	2	1	1
9	2	1	1
7	2	1	1
6	2	1	2
10	2	1	2
4	2	1	2
11	2	1	2
3	2	1	1
6	2	1	1
10	2	1	2
10	2	1	1
4	2	1	2
6	2	1	1
7	2	1	1
5	2	1	1
4	2	1	1
7	2	1	2
9	2	1	2
1	2	1	2
11	2	1	1
2	2	1	2
1	2	1	1
11	2	1	2
9	2	1	2
5	2	1	1
10	2	1	1
8	2	1	1
8	2	1	1
4	2	1	1
1	2	1	1
3	2	3	1
1	2	3	2
6	2	3	1
2	2	3	2
7	2	3	2
7	2	3	1
10	2	3	1
6	2	3	2
1	2	3	1
11	2	3	1
9	2	3	2
5	2	3	2
11	2	3	2
4	2	3	1
8	2	3	2
2	2	3	1
4	2	3	2
5	2	3	1
9	2	3	1
3	2	3	2
8	2	3	1
10	2	3	2
